Date,Time,vehicle_id,round_id,Status,Location
2025/7/14,08:00:00,V001,round1,從 起點 出發,"24.14690, 120.68390"
2025/7/14,08:00:00,V001,round1,抵達 P001,"24.14600, 120.68400"
2025/7/14,08:01:00,V001,round1,配送中 (P001),"24.14600, 120.68400"
2025/7/14,08:02:00,V001,round1,配送中 (P001),"24.14600, 120.68400"
2025/7/14,08:03:00,V001,round1,配送中 (P001),"24.14600, 120.68400"
2025/7/14,08:05:00,V001,round1,從 P001 出發,"24.14600, 120.68400"
2025/7/14,08:06:00,V001,round1,移動中,"24.14419, 120.68593"
2025/7/14,08:07:00,V001,round1,移動中,"24.14007, 120.68587"
2025/7/14,08:08:00,V001,round1,抵達 P026,"24.13680, 120.68610"
2025/7/14,08:09:00,V001,round1,配送中 (P026),"24.13680, 120.68610"
2025/7/14,08:10:00,V001,round1,配送中 (P026),"24.13680, 120.68610"
2025/7/14,08:11:00,V001,round1,配送中 (P026),"24.13680, 120.68610"
2025/7/14,08:13:00,V001,round1,從 P026 出發,"24.13680, 120.68610"
2025/7/14,08:14:00,V001,round1,移動中,"24.13634, 120.68757"
2025/7/14,08:15:00,V001,round1,移動中,"24.13584, 120.69013"
2025/7/14,08:16:00,V001,round1,移動中,"24.13481, 120.69268"
2025/7/14,08:17:00,V001,round1,抵達 P013,"24.13570, 120.69530"
2025/7/14,08:18:00,V001,round1,配送中 (P013),"24.13570, 120.69530"
2025/7/14,08:19:00,V001,round1,配送中 (P013),"24.13570, 120.69530"
2025/7/14,08:20:00,V001,round1,配送中 (P013),"24.13570, 120.69530"
2025/7/14,08:22:00,V001,round1,從 P013 出發,"24.13570, 120.69530"
2025/7/14,08:23:00,V001,round1,抵達 P049,"24.13720, 120.69550"
2025/7/14,08:24:00,V001,round1,配送中 (P049),"24.13720, 120.69550"
2025/7/14,08:25:00,V001,round1,配送中 (P049),"24.13720, 120.69550"
2025/7/14,08:26:00,V001,round1,配送中 (P049),"24.13720, 120.69550"
2025/7/14,08:28:00,V001,round1,從 P049 出發,"24.13720, 120.69550"
2025/7/14,08:29:00,V001,round1,移動中,"24.13342, 120.69426"
2025/7/14,08:30:00,V001,round1,移動中,"24.13055, 120.69022"
2025/7/14,08:31:00,V001,round1,抵達 P028,"24.12500, 120.69000"
2025/7/14,08:32:00,V001,round1,配送中 (P028),"24.12500, 120.69000"
2025/7/14,08:33:00,V001,round1,配送中 (P028),"24.12500, 120.69000"
2025/7/14,08:34:00,V001,round1,配送中 (P028),"24.12500, 120.69000"
2025/7/14,08:36:00,V001,round1,從 P028 出發,"24.12500, 120.69000"
2025/7/14,08:37:00,V001,round1,移動中,"24.12325, 120.68867"
2025/7/14,08:38:00,V001,round1,移動中,"24.12282, 120.68562"
2025/7/14,08:39:00,V001,round1,移動中,"24.12234, 120.68316"
2025/7/14,08:40:00,V001,round1,移動中,"24.12235, 120.67997"
2025/7/14,08:41:00,V001,round1,移動中,"24.12409, 120.67850"
2025/7/14,08:42:00,V001,round1,移動中,"24.12414, 120.67531"
2025/7/14,08:43:00,V001,round1,抵達 P012,"24.12160, 120.67520"
2025/7/14,08:44:00,V001,round1,配送中 (P012),"24.12160, 120.67520"
2025/7/14,08:45:00,V001,round1,配送中 (P012),"24.12160, 120.67520"
2025/7/14,08:46:00,V001,round1,配送中 (P012),"24.12160, 120.67520"
2025/7/14,08:48:00,V001,round1,從 P012 出發,"24.12160, 120.67520"
2025/7/14,08:49:00,V001,round1,移動中,"24.12579, 120.67518"
2025/7/14,08:50:00,V001,round1,移動中,"24.12647, 120.67164"
2025/7/14,08:51:00,V001,round1,移動中,"24.12883, 120.66891"
2025/7/14,08:52:00,V001,round1,移動中,"24.13260, 120.66702"
2025/7/14,08:53:00,V001,round1,移動中,"24.13653, 120.66576"
2025/7/14,08:54:00,V001,round1,移動中,"24.14013, 120.66515"
2025/7/14,08:55:00,V001,round1,移動中,"24.14090, 120.66169"
2025/7/14,08:56:00,V001,round1,抵達 P047,"24.14470, 120.66120"
2025/7/14,08:57:00,V001,round1,配送中 (P047),"24.14470, 120.66120"
2025/7/14,08:58:00,V001,round1,配送中 (P047),"24.14470, 120.66120"
2025/7/14,08:59:00,V001,round1,配送中 (P047),"24.14470, 120.66120"
2025/7/14,09:01:00,V001,round1,從 P047 出發,"24.14470, 120.66120"
2025/7/14,09:02:00,V001,round1,移動中,"24.14670, 120.65873"
2025/7/14,09:03:00,V001,round1,移動中,"24.14672, 120.65332"
2025/7/14,09:04:00,V001,round1,抵達 P029,"24.14500, 120.65000"
2025/7/14,09:05:00,V001,round1,配送中 (P029),"24.14500, 120.65000"
2025/7/14,09:06:00,V001,round1,配送中 (P029),"24.14500, 120.65000"
2025/7/14,09:07:00,V001,round1,配送中 (P029),"24.14500, 120.65000"
2025/7/14,09:09:00,V001,round1,從 P029 出發,"24.14500, 120.65000"
2025/7/14,09:10:00,V001,round1,移動中,"24.14678, 120.64753"
2025/7/14,09:11:00,V001,round1,移動中,"24.15037, 120.64687"
2025/7/14,09:12:00,V001,round1,移動中,"24.15464, 120.64692"
2025/7/14,09:13:00,V001,round1,移動中,"24.15752, 120.64524"
2025/7/14,09:14:00,V001,round1,移動中,"24.15962, 120.64153"
2025/7/14,09:15:00,V001,round1,抵達 P003,"24.16200, 120.63950"
2025/7/14,09:16:00,V001,round1,配送中 (P003),"24.16200, 120.63950"
2025/7/14,09:17:00,V001,round1,配送中 (P003),"24.16200, 120.63950"
2025/7/14,09:18:00,V001,round1,配送中 (P003),"24.16200, 120.63950"
2025/7/14,09:20:00,V001,round1,從 P003 出發,"24.16200, 120.63950"
2025/7/14,09:20:00,V001,round1,抵達 P002,"24.16250, 120.63900"
2025/7/14,09:21:00,V001,round1,配送中 (P002),"24.16250, 120.63900"
2025/7/14,09:22:00,V001,round1,配送中 (P002),"24.16250, 120.63900"
2025/7/14,09:23:00,V001,round1,配送中 (P002),"24.16250, 120.63900"
2025/7/14,09:25:00,V001,round1,從 P002 出發,"24.16250, 120.63900"
2025/7/14,09:26:00,V001,round1,移動中,"24.16143, 120.63681"
2025/7/14,09:27:00,V001,round1,移動中,"24.15836, 120.63623"
2025/7/14,09:28:00,V001,round1,移動中,"24.15725, 120.63424"
2025/7/14,09:29:00,V001,round1,移動中,"24.15566, 120.63278"
2025/7/14,09:30:00,V001,round1,抵達 P031,"24.15500, 120.63000"
2025/7/14,09:31:00,V001,round1,配送中 (P031),"24.15500, 120.63000"
2025/7/14,09:32:00,V001,round1,配送中 (P031),"24.15500, 120.63000"
2025/7/14,09:33:00,V001,round1,配送中 (P031),"24.15500, 120.63000"
2025/7/14,09:35:00,V001,round1,從 P031 出發,"24.15500, 120.63000"
2025/7/14,09:36:00,V001,round1,移動中,"24.15303, 120.62766"
2025/7/14,09:37:00,V001,round1,移動中,"24.15227, 120.62437"
2025/7/14,09:38:00,V001,round1,移動中,"24.15017, 120.62247"
2025/7/14,09:39:00,V001,round1,移動中,"24.15323, 120.61950"
2025/7/14,09:40:00,V001,round1,移動中,"24.15366, 120.61530"
2025/7/14,09:41:00,V001,round1,移動中,"24.15476, 120.61118"
2025/7/14,09:42:00,V001,round1,移動中,"24.15731, 120.60855"
2025/7/14,09:43:00,V001,round1,移動中,"24.16123, 120.60762"
2025/7/14,09:44:00,V001,round1,抵達 P033,"24.16500, 120.61000"
2025/7/14,09:45:00,V001,round1,配送中 (P033),"24.16500, 120.61000"
2025/7/14,09:46:00,V001,round1,配送中 (P033),"24.16500, 120.61000"
2025/7/14,09:47:00,V001,round1,配送中 (P033),"24.16500, 120.61000"
2025/7/14,09:49:00,V001,round1,從 P033 出發,"24.16500, 120.61000"
2025/7/14,09:50:00,V001,round1,移動中,"24.16122, 120.60761"
2025/7/14,09:51:00,V001,round1,移動中,"24.16086, 120.60483"
2025/7/14,09:52:00,V001,round1,移動中,"24.16051, 120.60177"
2025/7/14,09:53:00,V001,round1,移動中,"24.16278, 120.59934"
2025/7/14,09:54:00,V001,round1,移動中,"24.16345, 120.59512"
2025/7/14,09:55:00,V001,round1,移動中,"24.16526, 120.59128"
2025/7/14,09:56:00,V001,round1,移動中,"24.16783, 120.58942"
2025/7/14,09:57:00,V001,round1,移動中,"24.17187, 120.59035"
2025/7/14,09:58:00,V001,round1,抵達 P035,"24.17500, 120.59000"
